,accession,oxytolerance,domain,phylum,class,order,family
875,RS_GCF_002216855.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae
876,RS_GCF_013403245.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Sedimentibacteraceae
877,RS_GCF_006716185.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae
878,RS_GCF_001547735.1,anaerobe,d__Bacteria,p__Thermosulfidibacterota,c__Thermosulfidibacteria,o__Thermosulfidibacterales,f__Thermosulfidibacteraceae
879,RS_GCF_900113085.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Nevskiales,f__Nevskiaceae
880,RS_GCF_003112755.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae
881,RS_GCF_900101505.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
882,RS_GCF_003426775.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Micromonosporaceae
883,RS_GCF_000017545.1,anaerobe,d__Bacteria,p__Thermotogota,c__Thermotogae,o__Thermotogales,f__Fervidobacteriaceae
884,RS_GCF_900461125.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae
885,RS_GCF_014230085.1,aerobe,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__KCTC-12870
886,RS_GCF_900107485.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Proteiniboraceae
887,RS_GCF_000241955.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae
888,RS_GCF_900107245.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae
889,RS_GCF_001941975.1,anaerobe,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Sporomusales,f__Sporomusaceae
890,RS_GCF_002221595.1,anaerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
891,RS_GCF_900112335.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
892,RS_GCF_003044065.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_H,f__Salisediminibacteriaceae
893,RS_GCF_001306035.1,anaerobe,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae
894,RS_GCF_900102435.1,anaerobe,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Sporomusales,f__Thermosinaceae
895,RS_GCF_900169165.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Brevibacteriaceae
896,RS_GCF_001315945.1,anaerobe,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanomicrobiaceae
897,RS_GCF_000382265.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
898,RS_GCF_001618865.1,aerobe,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Vicinamibacteraceae
899,GB_GCA_000018565.1,aerobe,d__Bacteria,p__Chloroflexota,c__Chloroflexia,o__Chloroflexales,f__Herpetosiphonaceae
900,RS_GCF_003751385.1,anaerobe,d__Bacteria,p__Desulfobacterota,c__Syntrophobacteria,o__Syntrophobacterales,f__DSM-9756
901,RS_GCF_004331955.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae
902,RS_GCF_000735365.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae
903,RS_GCF_004342885.1,anaerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Tepidibacillales,f__Tepidibacillaceae
904,RS_GCF_004345645.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae
905,RS_GCF_000376805.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae
906,RS_GCF_000023225.1,anaerobe,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfomicrobiaceae
907,RS_GCF_000024925.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Cellulomonadaceae
908,RS_GCF_003254275.1,anaerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Marinilabiliaceae
909,GB_GCA_014635245.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylopilaceae
910,RS_GCF_900141635.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae
911,RS_GCF_001411495.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
912,RS_GCF_003337425.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
913,RS_GCF_000195315.1,anaerobe,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae
914,GB_GCA_003148945.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae
915,RS_GCF_003332275.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae
916,RS_GCF_000702065.1,anaerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae
917,RS_GCF_002954325.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
918,RS_GCF_000184705.1,aerobe,d__Bacteria,p__Firmicutes_E,c__Thermaerobacteria,o__Thermaerobacterales,f__Thermaerobacteraceae
919,RS_GCF_900104895.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae
920,RS_GCF_000210055.1,anaerobe,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae
921,RS_GCF_000014145.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cytophagaceae
922,RS_GCF_000373965.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae
923,RS_GCF_013046825.1,anaerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Haloplasmatales_A,f__Turicibacteraceae
924,RS_GCF_000271305.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Nevskiales,f__Nevskiaceae
925,RS_GCF_002933415.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
926,RS_GCF_003367395.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae
927,RS_GCF_000565345.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae
928,RS_GCF_000812685.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
929,RS_GCF_000010525.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae
930,RS_GCF_000194135.1,anaerobe,d__Bacteria,p__Campylobacterota,c__Desulfurellia,o__Desulfurellales,f__Hippeaceae
931,RS_GCF_000520015.2,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae
932,RS_GCF_003259955.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A,f__Rhizobiaceae_A
933,RS_GCF_004343035.1,anaerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae
934,RS_GCF_000378165.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae
935,RS_GCF_000701705.1,anaerobe,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae
936,RS_GCF_003151135.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Nevskiales,f__Oceanococcaceae
937,RS_GCF_000092405.1,anaerobe,d__Bacteria,p__Firmicutes_B,c__Syntrophomonadia,o__Syntrophomonadales,f__Syntrophothermaceae
938,RS_GCF_000380485.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae
939,RS_GCF_004364155.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Caloramatoraceae
940,RS_GCF_000144695.1,anaerobe,d__Bacteria,p__Firmicutes_F,c__Halanaerobiia,o__Halobacteroidales,f__Acetohalobiaceae
941,RS_GCF_000376825.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae
942,RS_GCF_014202275.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae
943,RS_GCF_900142005.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Dethiosulfatibacteraceae
944,RS_GCF_004340685.1,anaerobe,d__Bacteria,p__Firmicutes_G,c__UBA4882,o__UBA8346,f__UBA8346
945,RS_GCF_000233775.1,anaerobe,d__Bacteria,p__Synergistota,c__Synergistia,o__Synergistales,f__Thermovirgaceae
946,RS_GCF_900110485.1,anaerobe,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Propionisporales,f__Propionisporaceae
947,RS_GCF_000524475.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae
948,RS_GCF_004362865.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
949,RS_GCF_003014555.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Jiangellales,f__Jiangellaceae
950,RS_GCF_000023125.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae
951,RS_GCF_000474945.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Nevskiales,f__Nevskiaceae
952,RS_GCF_003730135.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Nevskiales,f__Nevskiaceae
953,RS_GCF_000007705.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Chromobacteriaceae
954,RS_GCF_003347595.2,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae
955,RS_GCF_900167435.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae
956,RS_GCF_000761445.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae
957,RS_GCF_000420765.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae
958,RS_GCF_011927625.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
959,RS_GCF_000383955.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae
960,RS_GCF_000517025.1,anaerobe,d__Bacteria,p__Firmicutes_F,c__Halanaerobiia,o__Halobacteroidales,f__Halobacteroidaceae
961,RS_GCF_000510805.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cardiobacteriales,f__Wohlfahrtiimonadaceae
962,RS_GCF_900167305.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Eubacteriales,f__Garciellaceae
963,RS_GCF_900461435.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
964,RS_GCF_003350345.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
965,RS_GCF_001968835.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae
966,RS_GCF_004343255.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Thermoactinomycetales,f__Thermoactinomycetaceae
967,RS_GCF_000373485.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Spongiibacteraceae_A
968,RS_GCF_000217815.1,anaerobe,d__Bacteria,p__Thermotogota,c__Thermotogae,o__Thermotogales,f__Thermotogaceae
969,RS_GCF_000009045.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae
970,RS_GCF_003201815.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
971,RS_GCF_000403135.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae
972,RS_GCF_000186885.1,anaerobe,d__Bacteria,p__Desulfobacterota,c__Desulfobulbia,o__Desulfobulbales,f__Desulfobulbaceae
973,RS_GCF_001190945.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae
974,RS_GCF_000165795.1,anaerobe,d__Bacteria,p__Synergistota,c__Synergistia,o__Synergistales,f__Synergistaceae
975,RS_GCF_003015185.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Ahniellaceae
976,RS_GCF_002895605.1,anaerobe,d__Bacteria,p__Thermotogota,c__Thermotogae,o__Petrotogales,f__Petrotogaceae
977,RS_GCF_000012845.1,anaerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae
978,RS_GCF_900119795.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
979,RS_GCF_000421465.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylothermaceae
980,RS_GCF_001580015.1,aerobe,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae
981,RS_GCF_003628755.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__Christensenellaceae
982,RS_GCF_001544015.1,anaerobe,d__Bacteria,p__Firmicutes_G,c__Limnochordia,o__Limnochordales,f__Limnochordaceae
983,RS_GCF_000006985.1,anaerobe,d__Bacteria,p__Bacteroidota,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae
984,RS_GCF_000759795.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae
985,RS_GCF_000172975.1,anaerobe,d__Bacteria,p__Synergistota,c__Synergistia,o__Synergistales,f__Dethiosulfovibrionaceae
986,RS_GCF_000427095.1,aerobe,d__Bacteria,p__Armatimonadota,c__Chthonomonadetes,o__Chthonomonadales,f__Chthonomonadaceae
987,RS_GCF_001643775.1,anaerobe,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae
988,GB_GCA_012931685.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
989,RS_GCF_900156675.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Saccharospirillaceae
990,RS_GCF_002201515.1,anaerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae
991,RS_GCF_000519265.1,anaerobe,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfonatronaceae
992,RS_GCF_000420085.1,anaerobe,d__Bacteria,p__Desulfobacterota,c__Desulfobacteria,o__Desulfobacterales,f__Desulfobacteraceae
993,RS_GCF_003337415.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Acetivibrionales,f__Acetivibrionaceae
994,RS_GCF_900167015.1,anaerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Succinivibrionaceae
995,GB_GCA_014644455.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae
996,RS_GCF_003762925.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Cellvibrionaceae
997,RS_GCF_900167975.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae
998,RS_GCF_001855385.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Gottschalkiaceae
999,GB_GCA_014639315.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Brevibacteriaceae
1000,RS_GCF_004341885.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae
1001,RS_GCF_003337485.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_D,f__Amphibacillaceae
1002,RS_GCF_000148385.1,anaerobe,d__Archaea,p__Thermoproteota,c__Thermoproteia,o__Thermoproteales,f__Thermocladiaceae
1003,RS_GCF_001517935.1,anaerobe,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae
1004,RS_GCF_000423225.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Kaistiaceae
1005,RS_GCF_011927665.1,anaerobe,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae
1006,RS_GCF_004345005.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae
1007,RS_GCF_000169255.2,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae
1008,RS_GCF_000412335.2,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae
1009,RS_GCF_000473205.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
1010,RS_GCF_000024225.1,anaerobe,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae
1011,RS_GCF_003634965.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae
1012,GB_GCA_000145985.1,anaerobe,d__Archaea,p__Thermoproteota,c__Thermoproteia,o__Sulfolobales,f__Ignisphaeraceae
1013,RS_GCF_014205685.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A,f__Rhizobiaceae_A
1014,RS_GCF_014202595.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Salinicoccaceae
1015,RS_GCF_013359755.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae
1016,RS_GCF_001562415.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Thermotaleaceae
1017,RS_GCF_900167445.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Caminicellaceae
1018,RS_GCF_000255705.1,aerobe,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae
1019,RS_GCF_000423065.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
1020,RS_GCF_002153915.1,anaerobe,d__Archaea,p__Halobacteriota,c__Methanonatronarchaeia,o__Methanonatronarchaeales,f__Methanonatronarchaeaceae
1021,RS_GCF_003627075.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae
1022,RS_GCF_000377705.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_H,f__Marinococcaceae
1023,RS_GCF_000017165.1,anaerobe,d__Archaea,p__Methanobacteriota,c__Methanococci,o__Methanococcales,f__Methanococcaceae
1024,RS_GCF_001584145.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
1025,GB_GCA_000263195.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae
1026,RS_GCF_900129075.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Thermoanaerobacteria,o__Caldanaerobiales,f__Caldanaerobiaceae
1027,RS_GCF_014201505.1,anaerobe,d__Bacteria,p__Desulfobacterota,c__Desulfobulbia,o__Desulfobulbales,f__Desulfocapsaceae
1028,RS_GCF_002954355.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
1029,RS_GCF_002238045.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae
1030,RS_GCF_003967535.1,aerobe,d__Bacteria,p__Chloroflexota,c__Ktedonobacteria,o__Ktedonobacterales,f__Ktedonobacteraceae
1031,GB_GCA_014635065.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
1032,RS_GCF_009858245.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae
1033,RS_GCF_003253545.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
1034,RS_GCF_900103645.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
1035,RS_GCF_003313335.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae
1036,RS_GCF_002915595.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Spongiibacteraceae
1037,RS_GCF_002072105.2,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
1038,RS_GCF_001262605.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Acetivibrionales,f__Acetivibrionaceae
1039,RS_GCF_900129805.1,anaerobe,d__Bacteria,p__Firmicutes_B,c__Syntrophomonadia,o__Syntrophomonadales,f__Syntrophomonadaceae
1040,RS_GCF_000154465.1,anaerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae
1041,RS_GCF_009720735.1,anaerobe,d__Bacteria,p__Firmicutes_B,c__Desulfitobacteriia,o__Heliobacteriales,f__Heliobacteriaceae
1042,RS_GCF_900111295.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_H,f__Salisediminibacteriaceae
1043,RS_GCF_900142285.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Caminicellaceae
1044,RS_GCF_002798015.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Cellulomonadaceae
1045,RS_GCF_001983995.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halieaceae
1046,RS_GCF_900129685.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
1047,RS_GCF_004339805.1,anaerobe,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Sporomusales,f__Thermosinaceae
1048,RS_GCF_900106525.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae
1049,RS_GCF_000512915.1,anaerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Barnesiellaceae
1050,RS_GCF_000191885.1,anaerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Marinilabiliaceae
1051,RS_GCF_000518645.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
1052,RS_GCF_004340905.1,anaerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
1053,RS_GCF_900114055.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Thermoactinomycetales,f__Thermoactinomycetaceae
1054,GB_GCA_014646675.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
1055,RS_GCF_000982825.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae
1056,RS_GCF_000378185.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae
1057,RS_GCF_000017565.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Parvibaculales,f__Parvibaculaceae
1058,RS_GCF_000205025.1,anaerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
1059,RS_GCF_001011115.1,anaerobe,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae
1060,RS_GCF_003814745.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae
1061,RS_GCF_000242235.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae
1062,RS_GCF_001050235.1,anaerobe,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae
1063,RS_GCF_000317795.1,anaerobe,d__Archaea,p__Thermoproteota,c__Thermoproteia,o__Sulfolobales,f__Acidilobaceae
1064,RS_GCF_900103425.1,anaerobe,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Dialisteraceae
1065,RS_GCF_014202935.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae
1066,RS_GCF_900113155.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae
